id;chuyen_can;kiem_tra;thuc_hanh;bai_tap;thi;so_lan_hoc;tong_ket;tong_ket_thang_chu;ket_qua
1;6;8;0;1;4;74186;6;experiences SQL;NOTPASS
2;1;0;2;5;7;19322;10;Qatar Pound;NOTPASS
3;0;0;1;8;9;29550;10;one-to-one content Investment;NOTPASS
4;7;2;9;5;0;55631;6;Sausages;PASS
5;6;5;8;6;6;93917;5;Refined Metal;NOTPASS
6;1;9;7;10;5;95524;10;bypass Market innovate;NOTPASS
7;3;4;1;1;3;64962;6;SCSI object-oriented;NOTPASS
8;6;7;5;6;7;9594;9;redefine Developer Tomé;NOTPASS
9;4;3;6;9;8;24542;0;deposit Drives Sports;NOTPASS
10;7;4;7;6;7;57160;9;Keys;PASS
