id;ma_mon_hoc;ten_mon_hoc;so_tin_chi;chuyen_can;kiem_tra;thuc_hanh;bai_tap;thi
1;Assurance Fish visionary;Riel;4;0;0;0;0;0
2;hacking Investment Architect;RSS indexing Adaptive;3;0;0;0;0;0
3;Optimization;Senior;2;0;0;0;0;0
4;Gorgeous;e-enable drive;1;0;0;0;0;0
5;navigating CSS;Carolina Avon Pizza;1;0;0;0;0;0
6;Incredible heuristic granular;Loan;4;0;0;0;0;0
7;Open-architected;Yemen Planner redefine;3;0;0;0;0;0
8;Global;connecting Internal;1;0;0;0;0;0
9;withdrawal Kroon Euro;hybrid bleeding-edge SAS;2;0;0;0;0;0
10;Cambridgeshire;alarm Facilitator sensor;3;0;0;0;0;0
